Brand,Name,Chipset,Score,Price,URL,Timestamp,Note
AMD,Ryzen 7 7700,AM5,-1,1499,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-7-7700-am5-8-core-16-threads-processor?_pos=18&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 7 7700,AM5,-1,1429,https://czone.my/czone/100-100000592box-1739106041.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 7 7700X,AM5,-1,1599,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-7-7700x-am5-processor?_pos=19&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 7 7700X,AM5,-1,1479,https://czone.my/czone/100-100000591wof-1739106041.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 7 7800X3D,AM5,-1,2099,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-7-7800x3d-am5-processor?_pos=20&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 7 8700G,AM5,-1,1399,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-7-8700g-am5-processor?_pos=21&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 7 9700X,AM5,-1,1749,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-7-9700x-am5-processor?_pos=22&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 7 9700X,AM5,-1,1649,https://czone.my/czone/100-100001404wof-1739106044.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 7 9800X3D,None,-1,2599,https://czone.my/czone/100-100001084wof-1739106043.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 9 7900,AM5,-1,1799,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-9-7900-am5-processor?_pos=23&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 9 7900,AM5,-1,1649,https://czone.my/czone/100-100000590box-1739106041.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 9 7900X,None,-1,1799,https://czone.my/czone/100-100000589wof-1739106041.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 9 7950X,AM5,-1,2699,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-9-7950x-am5-processor?_pos=24&_fid=d9d45494e&_ss=c,2025-03-18 22:10:07.371057,
AMD,Ryzen 9 7950X,AM5,-1,2399,https://czone.my/czone/100-100000514wof-1739106040.html,2025-03-19 14:21:03.468618,
AMD,Ryzen 9 7950X3D,AM5,-1,2999,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-9-7950x3d-am5-processor?_pos=25&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
AMD,Ryzen 9 9900X,AM5,-1,2149,https://brightstarcomp.com/collections/pc-components/products/amd-ryzen-9-9900x-am5-processor?_pos=26&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
AMD,Ryzen 9 9900X,AM5,-1,1999,https://czone.my/czone/100-100000662wof-1739106042.html,2025-03-19 14:21:03.468618,
