Brand,Name,Size,Price,URL,Timestamp,Note
,ASUS GX601 ROG Strix Helios   Black/White Edition,EATX,"From RM 1,439.00 to RM 1,555.00",https://brightstarcomp.com/collections/pc-components/products/asus-gx601-rog-strix-helios-full-tower-eatx-black-white-edition-pc-chassis?_pos=26&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Full-Tower
,ASUS Prime AP201 Tempered Glass,Micro-ATX,From RM 375.00 to RM 388.00,https://brightstarcomp.com/collections/pc-components/products/asus-prime-ap201-tempered-glass-micro-atx-pc-chassis?_pos=27&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
,ASUS Proart PA602 Tempered Glass  PC Chasis - Black,ATX,"RM 1,290.00",https://brightstarcomp.com/collections/pc-components/products/asus-proart-pa602-tempered-glass-atx-pc-chasis-black?_pos=28&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
,ASUS Proart PA602 Tempered Glass   - Wood,EATX,"RM 1,289.00",https://brightstarcomp.com/collections/pc-components/products/asus-proart-pa602-tempered-glass-eatx-pc-chasis-wood?_pos=29&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
,ASUS ROG Hyperion GR701 Tempered Glass,EATX,"From RM 1,999.00 to RM 2,050.00",https://brightstarcomp.com/collections/pc-components/products/asus-rog-hyperion-gr701-tempered-glass-full-tower-eatx-pc-chassis-1?_pos=30&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Full-Tower
,ASUS TUF Gaming GT301,ATX,RM 445.00,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt301-mid-tower-atx-pc-chassis?_pos=31&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
,ASUS TUF Gaming GT302 ARGB Tempered Glass,ATX,From RM 569.00 to RM 599.00,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt302-argb-tempered-glass-mid-tower-atx-pc-chassis?_pos=32&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
,ASUS TUF Gaming GT502,ATX,From RM 766.00 to RM 785.00,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gt502-mid-tower-atx-pc-chassis?_pos=33&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
BeQuiet,Pure Base 500 Window,ATX,RM 359.00,https://brightstarcomp.com/collections/pc-components/products/bequiet-pure-base-500-window-atx-chassis?_pos=34&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
Cooler Master,HAF500 White   [H500-WGNN-S00],ATX,RM 399.00,https://brightstarcomp.com/collections/pc-components/products/cooler-master-haf500-white-atx-chassis-h500-wgnn-s00?_pos=35&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
Corsair,2000D Airflow Mini,ITX,From RM 499.00 to RM 589.00,https://brightstarcomp.com/collections/pc-components/products/corsair-2000d-airflow-mini-itx-pc-chassis?_pos=36&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
Corsair,2500X Tempered Glass,Micro-ATX,RM 639.00,https://brightstarcomp.com/collections/pc-components/products/corsair-2500x-tempered-glass-micro-atx-pc-chasis?_pos=37&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,
Corsair,3000D Airflow Tempered Glass,ATX,RM 279.00,https://brightstarcomp.com/collections/pc-components/products/corsair-3000d-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=38&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
Corsair,3000D RGB Airflow Tempered Glass,ATX,RM 349.00,https://brightstarcomp.com/collections/pc-components/products/corsair-3000d-rgb-airflow-tempered-glass-mid-tower-atx-pc-chassis?_pos=39&_fid=559632eaf&_ss=c,2025-03-18 22:12:11.973135,Mid-Tower
