Brand,Name,Socket,Size,RAM Slot,NVME Slot,Wifi,Price,URL,Timestamp,Note
ASRock,B760M Steel Legend   Intel,LGA1700,MATX,,,1.0,849.0,https://brightstarcomp.com/collections/pc-components/products/asrock-b760m-steel-legend-wifi-ddr5-intel-lga1700-matx-motherboard?_pos=21&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,DDR5
ASRock,B760M-HDV/M.2,nan,,,,,489.0,https://czone.my/czone/b760m-hdv/m.2-1739103152.html,2025-03-19 14:21:24,DDR5
ASRock,B760M-HDV/M.2  Intel,LGA1700,MATX,,,,499.0,https://brightstarcomp.com/collections/pc-components/products/asrock-b760m-hdv-m-2-ddr5-intel-lga1700-matx-motherboard?_pos=23&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,DDR5
ASRock,B760M-HDV/M.2 D4,LGA1700,Micro-ATX,,,,379.0,https://brightstarcomp.com/collections/pc-components/products/asrock-b760m-hdv-m-2-d4-lga1700-micro-atx-motherboard?_pos=22&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
ASRock,B760M-ITX/D4,LGA1700,Mini-ITX,,,1.0,559.0,https://brightstarcomp.com/collections/pc-components/products/asrock-b760m-itx-d4-wifi-lga1700-mini-itx-motherboard?_pos=24&_fid=5b876dc96&_ss=c,2025-03-18 22:07:26,
ASRock,B760M-ITX/D4 WIFI,LGA1700,Mini ITX,2.0,1.0,1.0,550.0,,,
ASRock,B850 PRO-A  6E,nan,,,,1.0,899.0,https://czone.my/czone/b850 pro-a wifi-1739103153.html,2025-03-19 14:21:21,
ASRock,B850I Lightning  6E,nan,,,,1.0,999.0,https://czone.my/czone/b850i lightning wifi-1739103153.html,2025-03-19 14:21:21,
ASRock,B850M PRO-A  6E,nan,,,,1.0,749.0,https://czone.my/czone/b850m pro-a wifi-1739103154.html,2025-03-19 14:21:21,
ASRock,B850M-X  6E,nan,,,,1.0,639.0,https://czone.my/czone/b850m-x wifi-1739103154.html,2025-03-19 14:21:21,
ASRock,H410M-H,LGA1200,Micro ATX,2.0,1.0,0.0,275.0,,,
ASRock,H610M-HDV/M.2 R2.0,LGA1700,Micro-ATX,,,,329.0,https://brightstarcomp.com/collections/pc-components/products/asrock-h610m-hdv-m-2-r2-0-lga1700-micro-atx-motherboard?_pos=25&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASRock,H610M-HDV/M.2+ D5,LGA1700,Micro-ATX,,,,369.0,https://brightstarcomp.com/collections/pc-components/products/asrock-h610m-hdv-m-2-d5-lga1700-micro-atx-motherboard?_pos=26&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
ASRock,H610M-HVS/M.2 R2.0,LGA1700,Micro-ATX,,,,329.0,https://brightstarcomp.com/collections/pc-components/products/asrock-h610m-hvs-m-2-r2-0-lga1700-micro-atx-motherboard?_pos=27&_fid=5b876dc96&_ss=c,2025-03-18 22:07:27,
